port_b,port_a,count_condition,count_joint,probability
143,80,369897,330595,0.89374880034171678
143,110,369897,329438,0.8906209025755818
143,993,369897,327726,0.88599258712560525
143,995,369897,318534,0.86114242613484293
143,21,369897,310753,0.84010684055291063
143,25,369897,233256,0.630597166238169
143,587,369897,225789,0.6104104656161039
143,465,369897,219137,0.59242708105229291
143,443,369897,217496,0.58799071092763666
143,3306,369897,191076,0.51656542226619839
143,22,369897,69872,0.18889582775745681
143,5432,369897,29730,0.080373725658764467
143,53,369897,19771,0.053450014463485782
143,8443,369897,7749,0.020949075012773825
143,5060,369897,2458,0.00664509309348278
143,3389,369897,1783,0.0048202607752969072
143,8080,369897,1149,0.0031062701238452868
143,445,369897,1047,0.0028305176846527545
143,49154,369897,596,0.0016112593505759711
143,8081,369897,551,0.001489603862696913
143,8000,369897,453,0.0012246652446491861
143,1433,369897,397,0.0010732717486219136
143,23,369897,319,0.00086240223629821273
143,8085,369897,297,0.00080292622000178429
143,49152,369897,285,0.00077048475656736875
143,179,369897,270,0.0007299329272743493
143,2000,369897,264,0.00071371219555714158
143,8089,369897,219,0.00059205670767808333
143,1883,369897,201,0.00054339451252646007
143,1723,369897,184,0.00049743577266103808
143,51005,369897,184,0.00049743577266103808
143,8883,369897,183,0.00049473231737483681
143,5672,369897,178,0.00048121504094383031
143,58000,369897,172,0.00046499430922662254
143,4567,369897,172,0.00046499430922662254
143,6379,369897,169,0.00045688394336801868
143,62220,369897,156,0.00042173902464740182
143,631,369897,156,0.00042173902464740182
143,161,369897,153,0.00041362865878879796
143,30005,369897,152,0.00041092520350259669
143,20000,369897,145,0.0003920010164991876
143,1521,369897,143,0.000386594105926785
143,50805,369897,139,0.00037578028478197983
143,6443,369897,133,0.00035955955306477211
143,11211,369897,131,0.00035415264249236952
143,5900,369897,128,0.00034604227663376561
143,7547,369897,126,0.000340635366061363
143,53194,369897,124,0.00033522845548896043
143,502,369897,117,0.00031630426848555139
143,623,369897,112,0.00030278699205454489
143,27017,369897,112,0.00030278699205454489
143,65535,369897,111,0.00030008353676834362
143,102,369897,111,0.00030008353676834362
143,47808,369897,110,0.00029738008148214235
161,22,53625,18909,0.35261538461538461
161,179,53625,18046,0.33652214452214452
161,23,53625,4923,0.0918041958041958
161,21,53625,4569,0.0852027972027972
161,443,53625,4501,0.083934731934731929
161,80,53625,3239,0.0604009324009324
161,53,53625,1196,0.022303030303030304
161,445,53625,1025,0.019114219114219115
161,8000,53625,270,0.005034965034965035
161,631,53625,224,0.0041771561771561773
161,8080,53625,207,0.0038601398601398602
161,25,53625,171,0.0031888111888111886
161,5060,53625,159,0.0029650349650349652
161,8443,53625,156,0.0029090909090909089
161,143,53625,153,0.0028531468531468531
161,110,53625,151,0.0028158508158508157
161,8081,53625,151,0.0028158508158508157
161,8089,53625,131,0.0024428904428904427
161,465,53625,125,0.002331002331002331
161,993,53625,121,0.0022564102564102562
161,62220,53625,120,0.0022377622377622378
161,2000,53625,120,0.0022377622377622378
161,1883,53625,120,0.0022377622377622378
161,20000,53625,119,0.0022191142191142193
161,587,53625,117,0.0021818181818181819
161,5432,53625,117,0.0021818181818181819
161,3306,53625,115,0.0021445221445221445
161,8883,53625,115,0.0021445221445221445
161,65535,53625,115,0.0021445221445221445
161,8085,53625,115,0.0021445221445221445
161,30005,53625,114,0.002125874125874126
161,51005,53625,114,0.002125874125874126
161,5900,53625,113,0.0021072261072261071
161,1521,53625,112,0.0020885780885780887
161,995,53625,112,0.0020885780885780887
161,53194,53625,111,0.0020699300699300698
161,1433,53625,110,0.0020512820512820513
161,49154,53625,108,0.0020139860139860139
161,6379,53625,107,0.0019953379953379954
161,58000,53625,107,0.0019953379953379954
161,50805,53625,105,0.001958041958041958
161,49152,53625,104,0.0019393939393939393
161,3389,53625,104,0.0019393939393939393
161,502,53625,101,0.0018834498834498835
161,1723,53625,100,0.0018648018648018648
161,102,53625,99,0.0018461538461538461
161,47808,53625,96,0.0017902097902097903
161,4567,53625,96,0.0017902097902097903
161,623,53625,95,0.0017715617715617716
161,7547,53625,94,0.0017529137529137529
161,5672,53625,93,0.0017342657342657342
161,27017,53625,93,0.0017342657342657342
161,6443,53625,91,0.001696969696969697
161,11211,53625,90,0.0016783216783216783
179,22,358629,92114,0.256850394139905
179,443,358629,26422,0.073675023492244071
179,80,358629,21503,0.059958899029359032
179,161,358629,18046,0.050319410867498165
179,21,358629,13749,0.038337669290548174
179,23,358629,13531,0.037729798761394089
179,2000,358629,11682,0.032574052851275272
179,53,358629,5372,0.014979268268879539
179,8080,358629,2133,0.0059476506361727582
179,25,358629,1171,0.0032652127965111578
179,1883,358629,956,0.0026657074581252493
179,3306,358629,705,0.0019658198305212348
179,8443,358629,604,0.0016841917413259943
179,8000,358629,501,0.0013969868582853031
179,8081,358629,489,0.0013635260952126014
179,5432,358629,471,0.0013133349506035486
179,5060,358629,471,0.0013133349506035486
179,6443,358629,384,0.0010707444183264598
179,8089,358629,337,0.00093968976295837764
179,110,358629,300,0.00083651907681754688
179,993,358629,285,0.0007946931229766695
179,143,358629,270,0.00075286716913579212
179,465,358629,256,0.00071382961221764
179,587,358629,236,0.00065806167376313679
179,995,358629,233,0.00064969648299496136
179,8085,358629,224,0.000624600910690435
179,49154,358629,210,0.00058556335377228273
179,1723,358629,208,0.00057998655992683244
179,49152,358629,188,0.00052421862147232934
179,3389,358629,177,0.00049354625532235265
179,58000,358629,174,0.00048518106455417716
179,51005,358629,174,0.00048518106455417716
179,20000,358629,160,0.000446143507636025
179,4567,358629,153,0.00042662472917694887
179,5672,358629,153,0.00042662472917694887
179,8883,358629,145,0.00040431755379514761
179,30005,358629,144,0.00040152915687242247
179,445,358629,141,0.00039316396610424703
179,6379,358629,140,0.00039037556918152184
179,62220,358629,139,0.00038758717225879669
179,1521,358629,138,0.00038479877533607155
179,65535,358629,130,0.00036249159995427029
179,53194,358629,119,0.0003318192338042936
179,5900,358629,118,0.0003290308368815684
179,7547,358629,116,0.00032345404303611811
179,50805,358629,113,0.00031508885226794262
179,631,358629,111,0.00030951205842249234
179,502,358629,108,0.00030114686765431685
179,102,358629,104,0.00028999327996341622
179,1433,358629,104,0.00028999327996341622
179,47808,358629,103,0.00028720488304069108
179,27017,358629,103,0.00028720488304069108
179,623,358629,97,0.00027047450150434016
179,11211,358629,89,0.0002481673261225389
443,80,5935194,2946197,0.49639438913033
443,8443,5935194,937325,0.15792659852399096
443,22,5935194,845287,0.14241943902760382
443,6443,5935194,800487,0.13487124430979006
443,21,5935194,610458,0.1028539252465884
443,53,5935194,285100,0.048035498081444347
443,993,5935194,221461,0.037313186392896339
443,143,5935194,217496,0.036645137463071971
443,110,5935194,215242,0.036265368916331968
443,995,5935194,205430,0.034612179483939361
443,8883,5935194,181496,0.030579623850543049
443,25,5935194,176215,0.029689846700882903
443,587,5935194,159959,0.02695093033184762
443,465,5935194,152126,0.025631175661654869
443,3306,5935194,134124,0.022598081882411931
443,8080,5935194,121649,0.020496212929181423
443,7547,5935194,97997,0.016511170485749918
443,5060,5935194,72532,0.012220662037331888
443,1883,5935194,67819,0.011426585213558309
443,445,5935194,64332,0.010839072825589189
443,5432,5935194,50877,0.0085720871129065027
443,631,5935194,31604,0.0053248470058434487
443,8081,5935194,30730,0.0051775898142503848
443,23,5935194,28880,0.0048658898091620932
443,179,5935194,26422,0.0044517500186177575
443,8000,5935194,25246,0.0042536099072751458
443,8089,5935194,25208,0.0042472074206841431
443,3389,5935194,14420,0.0024295751747963083
443,1433,5935194,8405,0.0014161289420362671
443,5672,5935194,7860,0.0013243038054021486
443,8085,5935194,7839,0.0013207655891281733
443,2000,5935194,5361,0.00090325606879909908
443,161,5935194,4501,0.00075835768805535258
443,6379,5935194,3492,0.0005883548204153057
443,58000,5935194,3240,0.00054589622512760322
443,51005,5935194,3089,0.00052045476525282915
443,50805,5935194,2896,0.00048793687283010465
443,53194,5935194,2811,0.00047361552124496688
443,30005,5935194,2340,0.0003942583848143801
443,49154,5935194,2294,0.00038650800630948205
443,49152,5935194,2256,0.00038010551971847929
443,65535,5935194,1320,0.00022240216579272725
443,20000,5935194,1095,0.00018449270571442147
443,27017,5935194,959,0.00016157854317820107
443,4567,5935194,742,0.00012501697501379061
443,5900,5935194,737,0.00012417454256760606
443,1521,5935194,661,0.00011136956938560054
443,11211,5935194,558,9.4015460994198341e-05
443,1723,5935194,393,6.6215190270107425e-05
443,47808,5935194,219,3.6898541142884292e-05
443,623,5935194,210,3.5382162739752061e-05
443,502,5935194,206,3.47082167828044e-05
443,62220,5935194,139,2.3419622003931126e-05
443,102,5935194,119,2.0049892219192835e-05
445,7547,245845,134499,0.54708861274380194
445,80,245845,66283,0.26961296752018549
445,443,245845,64332,0.26167707295247006
445,22,245845,14820,0.060281884927494964
445,21,245845,12345,0.050214566088389027
445,3389,245845,11867,0.048270251581280892
445,8080,245845,7005,0.028493563017348331
445,53,245845,6610,0.026886859606662733
445,49154,245845,4229,0.017201895503264251
445,631,245845,3934,0.016001952449714252
445,49152,245845,3037,0.012353312046207977
445,25,245845,2459,0.010002237181964246
445,3306,245845,1930,0.0078504748927169556
445,1433,245845,1887,0.0076755679391486507
445,8443,245845,1582,0.0064349488498850905
445,8000,245845,1543,0.0062763123106022089
445,8081,245845,1232,0.0050112875999105124
445,110,245845,1211,0.004925867924912038
445,23,245845,1116,0.0045394455856332238
445,143,245845,1047,0.0042587809392096642
445,161,245845,1025,0.0041692936606398338
445,465,245845,953,0.0038764262035022065
445,587,245845,842,0.0034249222070816977
445,993,245845,788,0.0032052716142284771
445,5900,245845,624,0.0025381846285261037
445,995,245845,568,0.0023103988285301715
445,5432,245845,492,0.0020012609571071205
445,5060,245845,452,0.0018385568142528829
